timestamp,transformer_id,feeder_id,voltage,current,power,energy_consumption
2026-08-11 03:45:00,TR_01,F_02,413.7,53.9,33.3,1924.4
2026-08-11 04:00:00,TR_01,F_01,415.2,59.5,37.1,2685.2
2026-08-11 04:00:00,TR_01,F_02,417.4,46.1,29.3,1932.7
2026-08-11 04:15:00,TR_01,F_01,415.7,70.1,44.4,2694.5
2026-08-11 04:15:00,TR_01,F_02,415.7,47.2,29.4,1940.0
2026-08-11 04:30:00,TR_01,F_01,414.1,67.6,43.0,2705.6
2026-08-11 04:30:00,TR_01,F_02,413.0,54.8,35.2,1947.4
2026-08-11 04:45:00,TR_01,F_01,415.6,41.2,25.8,2716.4
2026-08-11 04:45:00,TR_01,F_02,414.8,49.7,30.4,1956.2
2026-08-11 05:00:00,TR_01,F_01,415.2,67.1,41.5,2722.8
2026-08-11 05:00:00,TR_01,F_02,421.2,53.6,34.6,1963.8
2026-08-11 05:15:00,TR_01,F_01,417.9,81.9,51.9,2733.2
2026-08-11 05:15:00,TR_01,F_02,416.9,39.1,25.2,1972.4
2026-08-11 05:30:00,TR_01,F_01,416.5,55.1,33.9,2746.2
2026-08-11 05:30:00,TR_01,F_02,420.5,43.2,28.0,1978.7
2026-08-11 05:45:00,TR_01,F_01,411.1,54.1,34.6,2754.7
2026-08-11 05:45:00,TR_01,F_02,415.2,55.7,35.1,1985.7
2026-08-11 06:00:00,TR_01,F_01,413.0,82.2,53.3,2763.4
2026-08-11 06:00:00,TR_01,F_02,414.2,35.2,22.4,1994.5
2026-08-11 06:15:00,TR_01,F_01,411.0,73.9,46.0,2776.7
2026-08-11 06:15:00,TR_01,F_02,415.5,59.4,37.4,2000.1
2026-08-11 06:30:00,TR_01,F_01,416.3,73.8,47.6,2788.2
2026-08-11 06:30:00,TR_01,F_02,415.7,54.2,33.4,2009.4
2026-08-11 06:45:00,TR_01,F_01,415.7,98.0,63.2,2800.1
2026-08-11 06:45:00,TR_01,F_02,413.2,55.7,34.5,2017.8
2026-08-11 07:00:00,TR_01,F_01,412.6,87.4,55.9,2815.9
2026-08-11 07:00:00,TR_01,F_02,417.0,40.2,26.4,2026.4
2026-08-11 07:15:00,TR_01,F_01,417.1,66.3,41.6,2829.9
2026-08-11 07:15:00,TR_01,F_02,419.7,41.0,25.8,2033.0
2026-08-11 07:30:00,TR_01,F_01,414.8,74.2,48.3,2840.3
2026-08-11 07:30:00,TR_01,F_02,415.9,59.9,38.2,2039.4
2026-08-11 07:45:00,TR_01,F_01,414.3,79.4,49.5,2852.4
2026-08-11 07:45:00,TR_01,F_02,421.8,39.7,24.7,2049.0
2026-08-11 08:00:00,TR_01,F_01,412.3,116.6,70.9,2864.8
2026-08-11 08:00:00,TR_01,F_02,416.2,108.6,71.6,2055.2
2026-08-11 08:15:00,TR_01,F_01,416.2,107.3,70.4,2882.5
2026-08-11 08:15:00,TR_01,F_02,414.8,81.8,51.3,2073.1
2026-08-11 08:30:00,TR_01,F_01,415.5,122.6,78.5,2900.1
2026-08-11 08:30:00,TR_01,F_02,411.9,104.6,63.9,2085.9
2026-08-11 08:45:00,TR_01,F_01,415.1,125.4,81.0,2919.7
2026-08-11 08:45:00,TR_01,F_02,412.1,106.7,68.5,2101.9
2026-08-11 09:00:00,TR_01,F_01,411.6,127.7,82.9,2940.0
2026-08-11 09:00:00,TR_01,F_02,412.7,106.2,69.4,2119.0
2026-08-11 09:15:00,TR_01,F_01,416.3,128.6,83.4,2960.7
2026-08-11 09:15:00,TR_01,F_02,424.6,113.6,75.7,2136.4
2026-08-11 09:30:00,TR_01,F_01,414.2,108.4,69.3,2981.5
2026-08-11 09:30:00,TR_01,F_02,416.9,97.2,59.8,2155.3
2026-08-11 09:45:00,TR_01,F_01,420.8,130.3,80.9,2998.8
2026-08-11 09:45:00,TR_01,F_02,410.3,80.6,48.8,2170.2
